title,name,rating
독립일기,자까,9.97
싸움독학,박태준 / 김정현,9.83
입학용병,YC / 락현,9.90
약한영웅,서패스 / 김진석,9.85
투신전생기,청담,9.93
이번 생도 잘...,이혜,9.98
존망코인,박태준 만화회사,9.05
수희0(tng...,생일기분,9.91
천하제일인,권순규 / 신권이,9.78
일타강사 백사부,이석준 / 오리보리 / 간...,9.94
무서운게 딱좋...,이동규,9.92
내일,라마,9.98
소녀재판,루즌아 / 보로콤,9.86
마루한 - 구...,박성우,9.89
오로지 너를 ...,아마도지 / 사삭,9.95
어느날 갑자기...,박창근,9.90
곱게 키웠더니...,티바 / 여슬기 / 이른꽃,9.97
장풍전,신영우,9.91
별이삼샵,혀노,9.95
테러대부활,한동우 / 고진호,9.91
고백 취소도 ...,신매,9.94
경비 배두만,이영곤,9.95
판사 이한영,문성호 / 전돌돌 / 이해날,9.91
경자 전성시대,김호드,9.94
합격시켜주세용,이온,9.98
동생친구,님니,9.97
나의 작은 서점,한민기,9.97
살아남은 로맨스,이연,9.98
가비지타임,2사장,9.96
벚꽃이 흩날릴...,황양,9.83
소사이코티,서한 / 연호,9.90
블러드 리벤저,고백,9.52
시월드가 내게...,승우 / 한윤설,9.98
위닝샷!,강견 / 시바견,9.94
학교정벌,나락 / 지앤,9.60
장미같은 소리,혜진양 / 듀영,9.94
사실 마법이었...,박성현,9.92
위험한 남편을...,두지 / 윤손,9.85
생존로그,이노,9.84
데빌샷,CTK,9.97
천치전능,김칸비 / 송래현,9.90
전설의 화석,청종 / 아뷰,9.86
철수와 영희 ...,울,9.90
여우애담,이도광,9.97
예쁜 사나이,영원,9.92
돌&아이,송채윤 / 엔리,9.83
생존고백,박태현,9.94
후궁 스캔들,정현 / 기트로우,9.96
몸이 바뀌는 ...,푸릭 / 달꽃 / 윤달,9.95
굿 리스너,쥬드프라이데이,9.97
DARK MO...,HYBE,9.44
사람은 고쳐 ...,염라 / 구일하,9.92
오늘 밤만 재...,유나나 / 해번,9.76
오른눈이 보는...,코어,9.97
마법스크롤 상...,엄재경 / 호패,9.96
신이 담긴 아이,건치 / 호진,9.91
보스의 노골적...,팀솜사탕 / 반지은 / 시...,9.72
보통아이,까를로스 / 범스테드,9.80
취향 소개소,이다몽,9.95
혀로 만난 사이,집손이,8.62
황제에게 하트...,"코코넛베리,율림니 / 6S",9.63
조선여우스캔들,문종호 / 정후 / 차소희,9.93
당신의 여자가...,팀아가페 / 별규,9.01
"라커, 오프너",만취 / 바른꽃,9.93
데이즈,양수,7.99
불순물,우열,9.84
독신마법사 기...,재윤 / 기르답,9.94
랑데뷰,제로,9.93
거래하실래요?,99C / 백도,9.90
"구해줘, 호구!",기천,9.91
푸른불꽃,닺,9.83
다시 또 봄,이힝,9.91
짝사랑의 유서,군밤,9.90
제타,하지,9.78
패션쇼,로커8,9.83
폰투스,운 / 한큰빛,9.88
6월의 라벤더,밤희 / 게살,9.91
